Checking CSS leakage...

❌ CSS LEAKAGE DETECTED

| Partial | Class | Defined In |
| google-ads | `.view-loading` | undefined |
| google-ads | `.ga-error` | undefined |
| google-ads | `.ga-unavailable` | undefined |
| google-ads | `.text-small` | undefined |
| google-ads | `.ga-tab-content` | undefined |
| google-ads | `.ga-status-table` | undefined |
| google-ads | `.ga-campaign-table` | undefined |
| google-ads | `.ga-search-table` | undefined |
| knowledge | `.reg-stat` | styles.css, views/registry.css |
| knowledge | `.reg-stat-number` | styles.css, views/registry.css |
| knowledge | `.reg-stat-label` | styles.css, views/registry.css |
| knowledge | `.skeleton-stack` | undefined |
| knowledge | `.reg-link` | styles.css, views/registry.css |
| marketingOps | `.skeleton-stack` | undefined |
| marketingOps | `.filter-pill-count` | undefined |
| marketingOps | `.kanban-card-title` | undefined |
| marketingOps | `.bmc-canvas` | styles.css, views/bmc.css |
| marketingOps | `.bmc-block` | styles.css, views/bmc.css |
| marketingOps | `.bmc-block--static` | undefined |
| marketingOps | `.bmc-block-header` | styles.css, views/bmc.css |
| marketingOps | `.bmc-block-title` | styles.css, views/bmc.css |
| marketingOps | `.utm-builder-section` | undefined |
| marketingOps | `.utm-builder-header` | undefined |
| marketingOps | `.utm-builder-header-left` | undefined |
| marketingOps | `.utm-builder-icon` | undefined |
| marketingOps | `.utm-builder-title` | undefined |
| marketingOps | `.utm-builder-subtitle` | undefined |
| marketingOps | `.utm-builder-body` | undefined |
| marketingOps | `.utm-builder-form` | undefined |
| marketingOps | `.utm-builder-field` | undefined |
| marketingOps | `.utm-builder-field--full` | undefined |
| marketingOps | `.utm-builder-label` | undefined |
| marketingOps | `.utm-required` | undefined |
| marketingOps | `.utm-input` | undefined |
| marketingOps | `.utm-optional` | undefined |
| marketingOps | `.utm-builder-preview` | undefined |
| marketingOps | `.utm-preview-label` | undefined |
| marketingOps | `.utm-preview-row` | undefined |
| marketingOps | `.utm-preview-input` | undefined |
| marketingOps | `.utm-builder-presets` | undefined |
| marketingOps | `.utm-presets-header` | undefined |
| marketingOps | `.utm-presets-title` | undefined |
| marketingOps | `.utm-preset-save-row` | undefined |
| marketingOps | `.utm-preset-name-input` | undefined |
| marketingOps | `.utm-preset-list` | undefined |
| marketingOps | `.utm-preset-row` | undefined |
| marketingOps | `.utm-preset-info` | undefined |
| marketingOps | `.utm-preset-name` | undefined |
| marketingOps | `.utm-preset-meta` | undefined |
| marketingOps | `.utm-preset-actions` | undefined |
| marketingOps | `.mini-action-btn--danger` | undefined |
| notion | `.skeleton-stack` | undefined |
| ops | `.view-refresh-label` | styles.css, views/marketingOps.css |
| ops | `.mktops-tabs` | styles.css, views/marketingOps.css |
| ops | `.skeleton-stack` | undefined |
| ops | `.area-card-button` | styles.css, views/marketingOps.css |
| ops | `.compact-empty-state` | styles.css, views/marketingOps.css |
| ops | `.data-card-button` | styles.css, views/marketingOps.css |
| ops | `.filter-input` | undefined |
| overview | `.org-last-refresh` | undefined |
| overview | `.overviewLoading` | undefined |
| overview | `.attention-upcoming` | undefined |
| status | `.org-last-refresh` | undefined |
| status | `.systemSyncing` | undefined |
| status | `.systemStatusLoading` | undefined |
| system-map | `.org-last-refresh` | undefined |
| system-map | `.systemMapLoading` | undefined |
| system-map | `.registry-grid` | styles.css, views/registry.css |
| system-map | `.system-map-view-card` | undefined |
| system-map | `.reg-card` | styles.css, views/registry.css |
| system-map | `.system-map-view-card-header` | undefined |
| system-map | `.system-map-view-card-label-group` | undefined |
| system-map | `.system-map-view-card-label` | undefined |
| system-map | `.system-map-view-card-id` | undefined |
| system-map | `.view-status-pill` | undefined |
| system-map | `.system-map-view-card-files` | undefined |
| system-map | `.system-map-view-file-ref` | undefined |
| system-map | `.system-map-view-file-sep` | undefined |
| system-map | `.system-map-view-missing` | undefined |
| techTeam | `.skeleton-stack` | undefined |
| techTeam | `.view-refresh-label` | styles.css, views/marketingOps.css |
| techTeam | `.area-card-button` | styles.css, views/marketingOps.css |
| techTeam | `.compact-empty-state` | styles.css, views/marketingOps.css |
| techTeam | `.data-card-button` | styles.css, views/marketingOps.css |
| techTeam | `.tech-system-tag-btn` | styles.css, views/marketingOps.css |
| techTeam | `.action-btn-danger` | styles.css, views/marketingOps.css |
| techTeam | `.tech-crm-breaches` | undefined |
| techTeam | `.mktops-alert` | styles.css, views/marketingOps.css |
| techTeam | `.mktops-alert-danger` | styles.css, views/marketingOps.css |
| techTeam | `.tech-strategy-level` | undefined |

## styles.css orphans

| Class | Used By | Action |
|---|---|---|
| `.factory-layout` | factory | views/factory.css |
| `.factory-main` | factory | views/factory.css |
| `.factory-summary-row` | factory | views/factory.css |
| `.factory-kpi-card` | factory | views/factory.css |
| `.factory-kpi-label` | factory | views/factory.css |
| `.factory-kpi-value` | factory | views/factory.css |
| `.factory-kpi-sub` | factory | views/factory.css |
| `.factory-kpi-note` | factory | views/factory.css |
| `.factory-section` | factory | views/factory.css |
| `.factory-section-title` | factory | views/factory.css |
| `.factory-section-desc` | factory | views/factory.css |
| `.factory-zones` | factory | views/factory.css |
| `.factory-zone-wrapper` | factory | views/factory.css |
| `.factory-zone-row` | factory | views/factory.css |
| `.factory-zone-meta` | factory | views/factory.css |
| `.factory-zone-bar` | factory | views/factory.css |
| `.factory-zone-bar-fill` | factory | views/factory.css |
| `.factory-zone-cap` | factory | views/factory.css |
| `.factory-zone-load` | factory | views/factory.css |
| `.factory-zone-chevron` | factory | views/factory.css |
| `.factory-zone-detail` | factory | views/factory.css |
| `.factory-zone-people-note` | factory | views/factory.css |
| `.factory-zone-bottleneck-note` | factory | views/factory.css |
| `.factory-icon-sm` | factory | views/factory.css |
| `.factory-machine-table-wrap` | factory | views/factory.css |
| `.text-right` | factory | views/factory.css |
| `.factory-role-badge` | factory | views/factory.css |
| `.factory-role-bottleneck` | factory | views/factory.css |
| `.factory-role-support` | factory | views/factory.css |
| `.factory-role-production` | factory | views/factory.css |
| `.factory-bottom-row` | factory | views/factory.css |
| `.factory-section-half` | factory | views/factory.css |
| `.factory-cascade` | factory | views/factory.css |
| `.factory-cascade-item` | factory | views/factory.css |
| `.factory-cascade-rank` | factory | views/factory.css |
| `.factory-cascade-body` | factory | views/factory.css |
| `.factory-cascade-header` | factory | views/factory.css |
| `.factory-cascade-name` | factory | views/factory.css |
| `.factory-cascade-stats` | factory | views/factory.css |
| `.factory-cascade-fix` | factory | views/factory.css |
| `.factory-shared` | factory | views/factory.css |
| `.factory-shared-item` | factory | views/factory.css |
| `.factory-shared-header` | factory | views/factory.css |
| `.factory-shared-name` | factory | views/factory.css |
| `.factory-shared-bar` | factory | views/factory.css |
| `.factory-shared-note` | factory | views/factory.css |
| `.factory-assumptions` | factory | views/factory.css |
| `.factory-assumptions-label` | factory | views/factory.css |
| `.factory-assumptions-sep` | factory | views/factory.css |
| `.factory-assumptions-read` | factory | views/factory.css |
| `.factory-assumptions-edit-btn` | factory | views/factory.css |
| `.factory-view-header` | factory | views/factory.css |
