Checking CSS leakage...

❌ CSS LEAKAGE DETECTED

| Partial | Class | Defined In |
| `.bmc-item-preview` | bmc | views/bmc.css |
| `.bmc-meta-grid` | bmc | views/bmc.css |
| `.bmc-meta-chip` | bmc | views/bmc.css |
| `.bmc-more` | bmc | views/bmc.css |
| `.bmc-empty` | bmc | views/bmc.css |
| `.detail-panel` | bmc, crm | core.css |
| `.detail-panel-header` | bmc, crm | core.css |
| `.detail-panel-body` | bmc, crm | core.css |
| `.detail-related` | bmc | views/bmc.css |
| `.detail-related-header` | bmc | views/bmc.css |
| `.detail-related-title` | bmc | views/bmc.css |
| `.detail-related-note` | bmc | views/bmc.css |
| `.detail-related-list` | bmc | views/bmc.css |
| `.detail-related-item` | bmc | views/bmc.css |
| `.detail-related-kicker` | bmc | views/bmc.css |
| `.detail-related-name` | bmc | views/bmc.css |
| `.detail-related-status` | bmc | views/bmc.css |
| `.detail-row` | bmc, crm | core.css |
| `.detail-label` | bmc, crm | core.css |
| `.detail-value` | bmc, crm | core.css |
| `.crm-status-active` | crm | views/crm.css |
| `.crm-status-stalled` | crm | views/crm.css |
| `.crm-section-heading` | crm | views/crm.css |
| `.crm-status-bar` | crm | views/crm.css |
| `.crm-status-pill` | crm | views/crm.css |
| `.crm-status-pill-count` | crm | views/crm.css |
| `.crm-owner-grid` | crm | views/crm.css |
| `.crm-owner-card` | crm | views/crm.css |
| `.crm-owner-name` | crm | views/crm.css |
| `.crm-owner-count` | crm | views/crm.css |
| `.crm-owner-bar-wrap` | crm | views/crm.css |
| `.crm-owner-bar` | crm | views/crm.css |
| `.crm-pagination` | crm | views/crm.css |
| `.crm-team-card` | crm | views/crm.css |
| `.crm-team-meta` | crm | views/crm.css |
| `.crm-team-flows` | crm | views/crm.css |
| `.crm-config-sections` | crm | views/crm.css |
| `.crm-config-block` | crm | views/crm.css |
| `.crm-config-summary` | crm | views/crm.css |
| `.crm-detail-section-title` | crm | views/crm.css |
| `.crm-detail-flow-row` | crm | views/crm.css |
| `.ops-two-col` | ops | views/ops.css |
| `.ops-stacked-bar` | ops | views/ops.css |
| `.ops-bar-segment` | ops | views/ops.css |
| `.ops-bar-legend` | ops | views/ops.css |
| `.ops-bar-legend-item` | ops | views/ops.css |
| `.ops-bar-legend-dot` | ops | views/ops.css |
| `.ops-section-label` | ops | views/ops.css |
| `.ops-row-count` | ops | views/ops.css |
| `.view-header-svg` | claude-usage | views/claude-usage.css |
| `.usage-stats-row` | claude-usage | views/claude-usage.css |
| `.usage-stat-card` | claude-usage | views/claude-usage.css |
| `.usage-stat-number` | claude-usage | views/claude-usage.css |
| `.usage-stat-label` | claude-usage | views/claude-usage.css |
| `.usage-stat-sub` | claude-usage | views/claude-usage.css |
| `.usage-progress-wrap` | claude-usage | views/claude-usage.css |
| `.usage-progress-bar` | claude-usage | views/claude-usage.css |
| `.usage-progress-fill` | claude-usage | views/claude-usage.css |
| `.usage-progress-labels` | claude-usage | views/claude-usage.css |
| `.usage-form-card` | claude-usage | views/claude-usage.css |
| `.usage-log-card` | claude-usage | views/claude-usage.css |
| `.usage-section-title` | claude-usage | views/claude-usage.css |
| `.usage-form` | claude-usage | views/claude-usage.css |
| `.usage-form-field` | claude-usage | views/claude-usage.css |
| `.usage-form-field--grow` | claude-usage | views/claude-usage.css |
| `.usage-form-label` | claude-usage | views/claude-usage.css |
| `.usage-form-optional` | claude-usage | views/claude-usage.css |
| `.usage-percent-input-row` | claude-usage | views/claude-usage.css |
| `.usage-slider` | claude-usage | views/claude-usage.css |
| `.usage-number-input` | claude-usage | views/claude-usage.css |
| `.usage-text-input` | claude-usage | views/claude-usage.css |
| `.usage-add-btn` | claude-usage | views/claude-usage.css |
| `.usage-empty` | claude-usage | views/claude-usage.css |
| `.usage-session-table` | claude-usage | views/claude-usage.css |
| `.usage-cell-muted` | claude-usage | views/claude-usage.css |
| `.usage-cell-note` | claude-usage | views/claude-usage.css |
| `.usage-pct-badge` | claude-usage | views/claude-usage.css |
| `.usage-delete-btn` | claude-usage | views/claude-usage.css |

